year,gender,type,source,count
2005,Men,RH(+),Korean Red Cross,1783096
2005,Men,RH(+),Central Seoul,169215
2005,Men,RH(+),Western Seoul,113398
2005,Men,RH(+),Southern Seoul,149389
2005,Men,RH(+),Eastern Seoul,158188
2005,Men,RH(+),Busan,162591
2005,Men,RH(+),Daegu/Gyeongbook,146131
2005,Men,RH(+),Incheon,90221
2005,Men,RH(+),Ulsan,61564
2005,Men,RH(+),Gyeonggi,116951
2005,Men,RH(+),Gangwon,75245
2005,Men,RH(+),Chungbook,60538
2005,Men,RH(+),Daejeon/Sejong/Chungnaam,140168
2005,Men,RH(+),Jeonbook,95148
2005,Men,RH(+),Gwangju/Jeonnaam,131570
2005,Men,RH(+),Gyeongnaam,87912
2005,Men,RH(+),Jeju,24867
2005,Men,RH(+),Korean Red Cross ¿Ü,42009
2005,Men,Type O,Korean Red Cross,486553
2005,Men,Type O,Central Seoul,45967
2005,Men,Type O,Western Seoul,31097
2005,Men,Type O,Southern Seoul,41058
2005,Men,Type O,Eastern Seoul,43138
2005,Men,Type O,Busan,44622
2005,Men,Type O,Daegu/Gyeongbook,40685
2005,Men,Type O,Incheon,24781
2005,Men,Type O,Ulsan,17494
2005,Men,Type O,Gyeonggi,32159
2005,Men,Type O,Gangwon,21108
2005,Men,Type O,Chungbook,16586
2005,Men,Type O,Daejeon/Sejong/Chungnaam,38249
2005,Men,Type O,Jeonbook,24743
2005,Men,Type O,Gwangju/Jeonnaam,33978
2005,Men,Type O,Gyeongnaam,24081
2005,Men,Type O,Jeju,6807
2005,Men,Type O,Korean Red Cross ¿Ü,11673
2005,Men,Type A,Korean Red Cross,612942
2005,Men,Type A,Central Seoul,57467
2005,Men,Type A,Western Seoul,38925
2005,Men,Type A,Southern Seoul,50556
2005,Men,Type A,Eastern Seoul,53955
2005,Men,Type A,Busan,56306
2005,Men,Type A,Daegu/Gyeongbook,49204
2005,Men,Type A,Incheon,30786
2005,Men,Type A,Ulsan,20934
2005,Men,Type A,Gyeonggi,39931
2005,Men,Type A,Gangwon,25202
2005,Men,Type A,Chungbook,19987
2005,Men,Type A,Daejeon/Sejong/Chungnaam,48046
2005,Men,Type A,Jeonbook,34780
2005,Men,Type A,Gwangju/Jeonnaam,48808
2005,Men,Type A,Gyeongnaam,30371
2005,Men,Type A,Jeju,7684
2005,Men,Type A,Korean Red Cross ¿Ü,13769
2005,Men,Type B,Korean Red Cross,479867
2005,Men,Type B,Central Seoul,46008
2005,Men,Type B,Western Seoul,30379
2005,Men,Type B,Southern Seoul,40951
2005,Men,Type B,Eastern Seoul,43094
2005,Men,Type B,Busan,43526
2005,Men,Type B,Daegu/Gyeongbook,39877
2005,Men,Type B,Incheon,24286
2005,Men,Type B,Ulsan,15933
2005,Men,Type B,Gyeonggi,31533
2005,Men,Type B,Gangwon,20350
2005,Men,Type B,Chungbook,17013
2005,Men,Type B,Daejeon/Sejong/Chungnaam,37761
2005,Men,Type B,Jeonbook,24514
2005,Men,Type B,Gwangju/Jeonnaam,33399
2005,Men,Type B,Gyeongnaam,23675
2005,Men,Type B,Jeju,7568
2005,Men,Type B,Korean Red Cross ¿Ü,11346
2005,Men,Type AB,Korean Red Cross,203734
2005,Men,Type AB,Central Seoul,19773
2005,Men,Type AB,Western Seoul,12997
2005,Men,Type AB,Southern Seoul,16824
2005,Men,Type AB,Eastern Seoul,18001
2005,Men,Type AB,Busan,18137
2005,Men,Type AB,Daegu/Gyeongbook,16365
2005,Men,Type AB,Incheon,10368
2005,Men,Type AB,Ulsan,7203
2005,Men,Type AB,Gyeonggi,13328
2005,Men,Type AB,Gangwon,8585
2005,Men,Type AB,Chungbook,6952
2005,Men,Type AB,Daejeon/Sejong/Chungnaam,16112
2005,Men,Type AB,Jeonbook,11111
2005,Men,Type AB,Gwangju/Jeonnaam,15385
2005,Men,Type AB,Gyeongnaam,9785
2005,Men,Type AB,Jeju,2808
2005,Men,Type AB,Korean Red Cross ¿Ü,5221
2005,Men,RH(-),Korean Red Cross,6429
2005,Men,RH(-),Central Seoul,609
2005,Men,RH(-),Western Seoul,459
2005,Men,RH(-),Southern Seoul,585
2005,Men,RH(-),Eastern Seoul,496
2005,Men,RH(-),Busan,543
2005,Men,RH(-),Daegu/Gyeongbook,572
2005,Men,RH(-),Incheon,294
2005,Men,RH(-),Ulsan,264
2005,Men,RH(-),Gyeonggi,465
2005,Men,RH(-),Gangwon,263
2005,Men,RH(-),Chungbook,214
2005,Men,RH(-),Daejeon/Sejong/Chungnaam,462
2005,Men,RH(-),Jeonbook,309
2005,Men,RH(-),Gwangju/Jeonnaam,480
2005,Men,RH(-),Gyeongnaam,313
2005,Men,RH(-),Jeju,101
2005,Men,RH(-),Korean Red Cross ¿Ü,79
2005,Men,Type O,Korean Red Cross,1617
2005,Men,Type O,Central Seoul,138
2005,Men,Type O,Western Seoul,102
2005,Men,Type O,Southern Seoul,157
2005,Men,Type O,Eastern Seoul,127
2005,Men,Type O,Busan,154
2005,Men,Type O,Daegu/Gyeongbook,140
2005,Men,Type O,Incheon,77
2005,Men,Type O,Ulsan,71
2005,Men,Type O,Gyeonggi,129
2005,Men,Type O,Gangwon,57
2005,Men,Type O,Chungbook,60
2005,Men,Type O,Daejeon/Sejong/Chungnaam,129
2005,Men,Type O,Jeonbook,81
2005,Men,Type O,Gwangju/Jeonnaam,109
2005,Men,Type O,Gyeongnaam,66
2005,Men,Type O,Jeju,20
2005,Men,Type O,Korean Red Cross ¿Ü,27
2005,Men,Type A,Korean Red Cross,2239
2005,Men,Type A,Central Seoul,228
2005,Men,Type A,Western Seoul,166
2005,Men,Type A,Southern Seoul,177
2005,Men,Type A,Eastern Seoul,170
2005,Men,Type A,Busan,173
2005,Men,Type A,Daegu/Gyeongbook,206
2005,Men,Type A,Incheon,119
2005,Men,Type A,Ulsan,68
2005,Men,Type A,Gyeonggi,176
2005,Men,Type A,Gangwon,102
2005,Men,Type A,Chungbook,77
2005,Men,Type A,Daejeon/Sejong/Chungnaam,151
2005,Men,Type A,Jeonbook,131
2005,Men,Type A,Gwangju/Jeonnaam,160
2005,Men,Type A,Gyeongnaam,94
2005,Men,Type A,Jeju,41
2005,Men,Type A,Korean Red Cross ¿Ü,16
2005,Men,Type B,Korean Red Cross,1778
2005,Men,Type B,Central Seoul,174
2005,Men,Type B,Western Seoul,115
2005,Men,Type B,Southern Seoul,175
2005,Men,Type B,Eastern Seoul,139
2005,Men,Type B,Busan,136
2005,Men,Type B,Daegu/Gyeongbook,139
2005,Men,Type B,Incheon,75
2005,Men,Type B,Ulsan,104
2005,Men,Type B,Gyeonggi,99
2005,Men,Type B,Gangwon,81
2005,Men,Type B,Chungbook,53
2005,Men,Type B,Daejeon/Sejong/Chungnaam,130
2005,Men,Type B,Jeonbook,78
2005,Men,Type B,Gwangju/Jeonnaam,140
2005,Men,Type B,Gyeongnaam,105
2005,Men,Type B,Jeju,35
2005,Men,Type B,Korean Red Cross ¿Ü,20
2005,Men,Type AB,Korean Red Cross,795
2005,Men,Type AB,Central Seoul,69
2005,Men,Type AB,Western Seoul,76
2005,Men,Type AB,Southern Seoul,76
2005,Men,Type AB,Eastern Seoul,60
2005,Men,Type AB,Busan,80
2005,Men,Type AB,Daegu/Gyeongbook,87
2005,Men,Type AB,Incheon,23
2005,Men,Type AB,Ulsan,21
2005,Men,Type AB,Gyeonggi,61
2005,Men,Type AB,Gangwon,23
2005,Men,Type AB,Chungbook,24
2005,Men,Type AB,Daejeon/Sejong/Chungnaam,52
2005,Men,Type AB,Jeonbook,19
2005,Men,Type AB,Gwangju/Jeonnaam,71
2005,Men,Type AB,Gyeongnaam,48
2005,Men,Type AB,Jeju,5
2005,Men,Type AB,Korean Red Cross ¿Ü,16
2005,Women,RH(+),Korean Red Cross,432144
2005,Women,RH(+),Central Seoul,40595
2005,Women,RH(+),Western Seoul,19646
2005,Women,RH(+),Southern Seoul,30726
2005,Women,RH(+),Eastern Seoul,36697
2005,Women,RH(+),Busan,49848
2005,Women,RH(+),Daegu/Gyeongbook,47247
2005,Women,RH(+),Incheon,38593
2005,Women,RH(+),Ulsan,16852
2005,Women,RH(+),Gyeonggi,20824
2005,Women,RH(+),Gangwon,7586
2005,Women,RH(+),Chungbook,16518
2005,Women,RH(+),Daejeon/Sejong/Chungnaam,20571
2005,Women,RH(+),Jeonbook,25361
2005,Women,RH(+),Gwangju/Jeonnaam,42134
2005,Women,RH(+),Gyeongnaam,12266
2005,Women,RH(+),Jeju,6680
2005,Women,RH(+),Korean Red Cross ¿Ü,8583
2005,Women,Type O,Korean Red Cross,119460
2005,Women,Type O,Central Seoul,10994
2005,Women,Type O,Western Seoul,5280
2005,Women,Type O,Southern Seoul,8647
2005,Women,Type O,Eastern Seoul,10326
2005,Women,Type O,Busan,14013
2005,Women,Type O,Daegu/Gyeongbook,13305
2005,Women,Type O,Incheon,10807
2005,Women,Type O,Ulsan,4704
2005,Women,Type O,Gyeonggi,5709
2005,Women,Type O,Gangwon,2291
2005,Women,Type O,Chungbook,4515
2005,Women,Type O,Daejeon/Sejong/Chungnaam,5557
2005,Women,Type O,Jeonbook,6909
2005,Women,Type O,Gwangju/Jeonnaam,11286
2005,Women,Type O,Gyeongnaam,3346
2005,Women,Type O,Jeju,1771
2005,Women,Type O,Korean Red Cross ¿Ü,2509
2005,Women,Type A,Korean Red Cross,142864
2005,Women,Type A,Central Seoul,13214
2005,Women,Type A,Western Seoul,6525
2005,Women,Type A,Southern Seoul,10005
2005,Women,Type A,Eastern Seoul,11910
2005,Women,Type A,Busan,16585
2005,Women,Type A,Daegu/Gyeongbook,15386
2005,Women,Type A,Incheon,12612
2005,Women,Type A,Ulsan,5537
2005,Women,Type A,Gyeonggi,6627
2005,Women,Type A,Gangwon,2371
2005,Women,Type A,Chungbook,5289
2005,Women,Type A,Daejeon/Sejong/Chungnaam,6807
2005,Women,Type A,Jeonbook,8780
2005,Women,Type A,Gwangju/Jeonnaam,15222
2005,Women,Type A,Gyeongnaam,4107
2005,Women,Type A,Jeju,1887
2005,Women,Type A,Korean Red Cross ¿Ü,2695
2005,Women,Type B,Korean Red Cross,120271
2005,Women,Type B,Central Seoul,11512
2005,Women,Type B,Western Seoul,5592
2005,Women,Type B,Southern Seoul,8732
2005,Women,Type B,Eastern Seoul,10338
2005,Women,Type B,Busan,13758
2005,Women,Type B,Daegu/Gyeongbook,13343
2005,Women,Type B,Incheon,10699
2005,Women,Type B,Ulsan,4660
2005,Women,Type B,Gyeonggi,6045
2005,Women,Type B,Gangwon,2116
2005,Women,Type B,Chungbook,4785
2005,Women,Type B,Daejeon/Sejong/Chungnaam,5829
2005,Women,Type B,Jeonbook,6641
2005,Women,Type B,Gwangju/Jeonnaam,10541
2005,Women,Type B,Gyeongnaam,3417
2005,Women,Type B,Jeju,2263
2005,Women,Type B,Korean Red Cross ¿Ü,2352
2005,Women,Type AB,Korean Red Cross,49549
2005,Women,Type AB,Central Seoul,4875
2005,Women,Type AB,Western Seoul,2249
2005,Women,Type AB,Southern Seoul,3342
2005,Women,Type AB,Eastern Seoul,4123
2005,Women,Type AB,Busan,5492
2005,Women,Type AB,Daegu/Gyeongbook,5213
2005,Women,Type AB,Incheon,4475
2005,Women,Type AB,Ulsan,1951
2005,Women,Type AB,Gyeonggi,2443
2005,Women,Type AB,Gangwon,808
2005,Women,Type AB,Chungbook,1929
2005,Women,Type AB,Daejeon/Sejong/Chungnaam,2378
2005,Women,Type AB,Jeonbook,3031
2005,Women,Type AB,Gwangju/Jeonnaam,5085
2005,Women,Type AB,Gyeongnaam,1396
2005,Women,Type AB,Jeju,759
2005,Women,Type AB,Korean Red Cross ¿Ü,1027
2005,Women,RH(-),Korean Red Cross,1967
2005,Women,RH(-),Central Seoul,187
2005,Women,RH(-),Western Seoul,76
2005,Women,RH(-),Southern Seoul,165
2005,Women,RH(-),Eastern Seoul,158
2005,Women,RH(-),Busan,242
2005,Women,RH(-),Daegu/Gyeongbook,202
2005,Women,RH(-),Incheon,166
2005,Women,RH(-),Ulsan,70
2005,Women,RH(-),Gyeonggi,122
2005,Women,RH(-),Gangwon,28
2005,Women,RH(-),Chungbook,81
2005,Women,RH(-),Daejeon/Sejong/Chungnaam,111
2005,Women,RH(-),Jeonbook,95
2005,Women,RH(-),Gwangju/Jeonnaam,166
2005,Women,RH(-),Gyeongnaam,72
2005,Women,RH(-),Jeju,26
2005,Women,RH(-),Korean Red Cross ¿Ü,29
2005,Women,Type O,Korean Red Cross,510
2005,Women,Type O,Central Seoul,50
2005,Women,Type O,Western Seoul,26
2005,Women,Type O,Southern Seoul,36
2005,Women,Type O,Eastern Seoul,49
2005,Women,Type O,Busan,69
2005,Women,Type O,Daegu/Gyeongbook,46
2005,Women,Type O,Incheon,31
2005,Women,Type O,Ulsan,16
2005,Women,Type O,Gyeonggi,28
2005,Women,Type O,Gangwon,10
2005,Women,Type O,Chungbook,18
2005,Women,Type O,Daejeon/Sejong/Chungnaam,32
2005,Women,Type O,Jeonbook,27
2005,Women,Type O,Gwangju/Jeonnaam,50
2005,Women,Type O,Gyeongnaam,14
2005,Women,Type O,Jeju,8
2005,Women,Type O,Korean Red Cross ¿Ü,11
2005,Women,Type A,Korean Red Cross,655
2005,Women,Type A,Central Seoul,64
2005,Women,Type A,Western Seoul,14
2005,Women,Type A,Southern Seoul,63
2005,Women,Type A,Eastern Seoul,46
2005,Women,Type A,Busan,90
2005,Women,Type A,Daegu/Gyeongbook,58
2005,Women,Type A,Incheon,68
2005,Women,Type A,Ulsan,21
2005,Women,Type A,Gyeonggi,34
2005,Women,Type A,Gangwon,7
2005,Women,Type A,Chungbook,23
2005,Women,Type A,Daejeon/Sejong/Chungnaam,34
2005,Women,Type A,Jeonbook,38
2005,Women,Type A,Gwangju/Jeonnaam,61
2005,Women,Type A,Gyeongnaam,24
2005,Women,Type A,Jeju,10
2005,Women,Type A,Korean Red Cross ¿Ü,10
2005,Women,Type B,Korean Red Cross,536
2005,Women,Type B,Central Seoul,46
2005,Women,Type B,Western Seoul,22
2005,Women,Type B,Southern Seoul,39
2005,Women,Type B,Eastern Seoul,45
2005,Women,Type B,Busan,57
2005,Women,Type B,Daegu/Gyeongbook,68
2005,Women,Type B,Incheon,44
2005,Women,Type B,Ulsan,29
2005,Women,Type B,Gyeonggi,35
2005,Women,Type B,Gangwon,10
2005,Women,Type B,Chungbook,29
2005,Women,Type B,Daejeon/Sejong/Chungnaam,38
2005,Women,Type B,Jeonbook,16
2005,Women,Type B,Gwangju/Jeonnaam,33
2005,Women,Type B,Gyeongnaam,20
2005,Women,Type B,Jeju,5
2005,Women,Type B,Korean Red Cross ¿Ü,6
2005,Women,Type AB,Korean Red Cross,266
2005,Women,Type AB,Central Seoul,27
2005,Women,Type AB,Western Seoul,14
2005,Women,Type AB,Southern Seoul,27
2005,Women,Type AB,Eastern Seoul,18
2005,Women,Type AB,Busan,26
2005,Women,Type AB,Daegu/Gyeongbook,30
2005,Women,Type AB,Incheon,23
2005,Women,Type AB,Ulsan,4
2005,Women,Type AB,Gyeonggi,25
2005,Women,Type AB,Gangwon,1
2005,Women,Type AB,Chungbook,11
2005,Women,Type AB,Daejeon/Sejong/Chungnaam,7
2005,Women,Type AB,Jeonbook,14
2005,Women,Type AB,Gwangju/Jeonnaam,22
2005,Women,Type AB,Gyeongnaam,14
2005,Women,Type AB,Jeju,3
2005,Women,Type AB,Korean Red Cross ¿Ü,2
2006,Men,RH(+),Korean Red Cross,1741664
2006,Men,RH(+),Central Seoul,173853
2006,Men,RH(+),Western Seoul,113589
2006,Men,RH(+),Southern Seoul,150866
2006,Men,RH(+),Eastern Seoul,150316
2006,Men,RH(+),Busan,159725
2006,Men,RH(+),Daegu/Gyeongbook,139248
2006,Men,RH(+),Incheon,86524
2006,Men,RH(+),Ulsan,64657
2006,Men,RH(+),Gyeonggi,114492
2006,Men,RH(+),Gangwon,67429
2006,Men,RH(+),Chungbook,61509
2006,Men,RH(+),Daejeon/Sejong/Chungnaam,116211
2006,Men,RH(+),Jeonbook,88535
2006,Men,RH(+),Gwangju/Jeonnaam,143864
2006,Men,RH(+),Gyeongnaam,87190
2006,Men,RH(+),Jeju,23656
2006,Men,RH(+),Korean Red Cross ¿Ü,43655
2006,Men,Type O,Korean Red Cross,476617
2006,Men,Type O,Central Seoul,47749
2006,Men,Type O,Western Seoul,31407
2006,Men,Type O,Southern Seoul,41783
2006,Men,Type O,Eastern Seoul,40800
2006,Men,Type O,Busan,43615
2006,Men,Type O,Daegu/Gyeongbook,39276
2006,Men,Type O,Incheon,24143
2006,Men,Type O,Ulsan,18047
2006,Men,Type O,Gyeonggi,31723
2006,Men,Type O,Gangwon,18653
2006,Men,Type O,Chungbook,16929
2006,Men,Type O,Daejeon/Sejong/Chungnaam,31699
2006,Men,Type O,Jeonbook,23275
2006,Men,Type O,Gwangju/Jeonnaam,37237
2006,Men,Type O,Gyeongnaam,23885
2006,Men,Type O,Jeju,6396
2006,Men,Type O,Korean Red Cross ¿Ü,11994
2006,Men,Type A,Korean Red Cross,601496
2006,Men,Type A,Central Seoul,59196
2006,Men,Type A,Western Seoul,39441
2006,Men,Type A,Southern Seoul,51469
2006,Men,Type A,Eastern Seoul,51525
2006,Men,Type A,Busan,55685
2006,Men,Type A,Daegu/Gyeongbook,46634
2006,Men,Type A,Incheon,29537
2006,Men,Type A,Ulsan,22237
2006,Men,Type A,Gyeonggi,39043
2006,Men,Type A,Gangwon,22663
2006,Men,Type A,Chungbook,20609
2006,Men,Type A,Daejeon/Sejong/Chungnaam,40128
2006,Men,Type A,Jeonbook,32234
2006,Men,Type A,Gwangju/Jeonnaam,53282
2006,Men,Type A,Gyeongnaam,30422
2006,Men,Type A,Jeju,7391
2006,Men,Type A,Korean Red Cross ¿Ü,15414
2006,Men,Type B,Korean Red Cross,465225
2006,Men,Type B,Central Seoul,47028
2006,Men,Type B,Western Seoul,29983
2006,Men,Type B,Southern Seoul,40668
2006,Men,Type B,Eastern Seoul,40876
2006,Men,Type B,Busan,42351
2006,Men,Type B,Daegu/Gyeongbook,37710
2006,Men,Type B,Incheon,23078
2006,Men,Type B,Ulsan,17008
2006,Men,Type B,Gyeonggi,30516
2006,Men,Type B,Gangwon,18412
2006,Men,Type B,Chungbook,16950
2006,Men,Type B,Daejeon/Sejong/Chungnaam,30838
2006,Men,Type B,Jeonbook,22715
2006,Men,Type B,Gwangju/Jeonnaam,36682
2006,Men,Type B,Gyeongnaam,23197
2006,Men,Type B,Jeju,7213
2006,Men,Type B,Korean Red Cross ¿Ü,11111
2006,Men,Type AB,Korean Red Cross,198326
2006,Men,Type AB,Central Seoul,19880
2006,Men,Type AB,Western Seoul,12758
2006,Men,Type AB,Southern Seoul,16946
2006,Men,Type AB,Eastern Seoul,17115
2006,Men,Type AB,Busan,18074
2006,Men,Type AB,Daegu/Gyeongbook,15628
2006,Men,Type AB,Incheon,9766
2006,Men,Type AB,Ulsan,7365
2006,Men,Type AB,Gyeonggi,13210
2006,Men,Type AB,Gangwon,7701
2006,Men,Type AB,Chungbook,7021
2006,Men,Type AB,Daejeon/Sejong/Chungnaam,13546
2006,Men,Type AB,Jeonbook,10311
2006,Men,Type AB,Gwangju/Jeonnaam,16663
2006,Men,Type AB,Gyeongnaam,9686
2006,Men,Type AB,Jeju,2656
2006,Men,Type AB,Korean Red Cross ¿Ü,5136
2006,Men,RH(-),Korean Red Cross,6611
2006,Men,RH(-),Central Seoul,653
2006,Men,RH(-),Western Seoul,504
2006,Men,RH(-),Southern Seoul,609
2006,Men,RH(-),Eastern Seoul,526
2006,Men,RH(-),Busan,561
2006,Men,RH(-),Daegu/Gyeongbook,571
2006,Men,RH(-),Incheon,309
2006,Men,RH(-),Ulsan,246
2006,Men,RH(-),Gyeonggi,416
2006,Men,RH(-),Gangwon,257
2006,Men,RH(-),Chungbook,273
2006,Men,RH(-),Daejeon/Sejong/Chungnaam,451
2006,Men,RH(-),Jeonbook,264
2006,Men,RH(-),Gwangju/Jeonnaam,495
2006,Men,RH(-),Gyeongnaam,377
2006,Men,RH(-),Jeju,99
2006,Men,RH(-),Korean Red Cross ¿Ü,108
2006,Men,Type O,Korean Red Cross,1756
2006,Men,Type O,Central Seoul,207
2006,Men,Type O,Western Seoul,119
2006,Men,Type O,Southern Seoul,146
2006,Men,Type O,Eastern Seoul,124
2006,Men,Type O,Busan,146
2006,Men,Type O,Daegu/Gyeongbook,175
2006,Men,Type O,Incheon,90
2006,Men,Type O,Ulsan,69
2006,Men,Type O,Gyeonggi,127
2006,Men,Type O,Gangwon,53
2006,Men,Type O,Chungbook,75
2006,Men,Type O,Daejeon/Sejong/Chungnaam,121
2006,Men,Type O,Jeonbook,58
2006,Men,Type O,Gwangju/Jeonnaam,118
2006,Men,Type O,Gyeongnaam,94
2006,Men,Type O,Jeju,34
2006,Men,Type O,Korean Red Cross ¿Ü,23
2006,Men,Type A,Korean Red Cross,2393
2006,Men,Type A,Central Seoul,189
2006,Men,Type A,Western Seoul,223
2006,Men,Type A,Southern Seoul,235
2006,Men,Type A,Eastern Seoul,186
2006,Men,Type A,Busan,186
2006,Men,Type A,Daegu/Gyeongbook,172
2006,Men,Type A,Incheon,107
2006,Men,Type A,Ulsan,88
2006,Men,Type A,Gyeonggi,148
2006,Men,Type A,Gangwon,102
2006,Men,Type A,Chungbook,105
2006,Men,Type A,Daejeon/Sejong/Chungnaam,164
2006,Men,Type A,Jeonbook,136
2006,Men,Type A,Gwangju/Jeonnaam,196
2006,Men,Type A,Gyeongnaam,118
2006,Men,Type A,Jeju,38
2006,Men,Type A,Korean Red Cross ¿Ü,67
2006,Men,Type B,Korean Red Cross,1746
2006,Men,Type B,Central Seoul,192
2006,Men,Type B,Western Seoul,106
2006,Men,Type B,Southern Seoul,161
2006,Men,Type B,Eastern Seoul,154
2006,Men,Type B,Busan,152
2006,Men,Type B,Daegu/Gyeongbook,154
2006,Men,Type B,Incheon,80
2006,Men,Type B,Ulsan,71
2006,Men,Type B,Gyeonggi,88
2006,Men,Type B,Gangwon,77
2006,Men,Type B,Chungbook,60
2006,Men,Type B,Daejeon/Sejong/Chungnaam,130
2006,Men,Type B,Jeonbook,56
2006,Men,Type B,Gwangju/Jeonnaam,136
2006,Men,Type B,Gyeongnaam,107
2006,Men,Type B,Jeju,22
2006,Men,Type B,Korean Red Cross ¿Ü,14
2006,Men,Type AB,Korean Red Cross,716
2006,Men,Type AB,Central Seoul,65
2006,Men,Type AB,Western Seoul,56
2006,Men,Type AB,Southern Seoul,67
2006,Men,Type AB,Eastern Seoul,62
2006,Men,Type AB,Busan,77
2006,Men,Type AB,Daegu/Gyeongbook,70
2006,Men,Type AB,Incheon,32
2006,Men,Type AB,Ulsan,18
2006,Men,Type AB,Gyeonggi,53
2006,Men,Type AB,Gangwon,25
2006,Men,Type AB,Chungbook,33
2006,Men,Type AB,Daejeon/Sejong/Chungnaam,36
2006,Men,Type AB,Jeonbook,14
2006,Men,Type AB,Gwangju/Jeonnaam,45
2006,Men,Type AB,Gyeongnaam,58
2006,Men,Type AB,Jeju,5
2006,Men,Type AB,Korean Red Cross ¿Ü,4
2006,Women,RH(+),Korean Red Cross,500007
2006,Women,RH(+),Central Seoul,47360
2006,Women,RH(+),Western Seoul,24387
2006,Women,RH(+),Southern Seoul,38126
2006,Women,RH(+),Eastern Seoul,49403
2006,Women,RH(+),Busan,52038
2006,Women,RH(+),Daegu/Gyeongbook,48909
2006,Women,RH(+),Incheon,33969
2006,Women,RH(+),Ulsan,17099
2006,Women,RH(+),Gyeonggi,26684
2006,Women,RH(+),Gangwon,8846
2006,Women,RH(+),Chungbook,17121
2006,Women,RH(+),Daejeon/Sejong/Chungnaam,30029
2006,Women,RH(+),Jeonbook,29689
2006,Women,RH(+),Gwangju/Jeonnaam,55364
2006,Women,RH(+),Gyeongnaam,14993
2006,Women,RH(+),Jeju,5990
2006,Women,RH(+),Korean Red Cross ¿Ü,8129
2006,Women,Type O,Korean Red Cross,137460
2006,Women,Type O,Central Seoul,13099
2006,Women,Type O,Western Seoul,6809
2006,Women,Type O,Southern Seoul,10411
2006,Women,Type O,Eastern Seoul,13520
2006,Women,Type O,Busan,14618
2006,Women,Type O,Daegu/Gyeongbook,13659
2006,Women,Type O,Incheon,9472
2006,Women,Type O,Ulsan,4726
2006,Women,Type O,Gyeonggi,7462
2006,Women,Type O,Gangwon,2583
2006,Women,Type O,Chungbook,4778
2006,Women,Type O,Daejeon/Sejong/Chungnaam,8143
2006,Women,Type O,Jeonbook,8020
2006,Women,Type O,Gwangju/Jeonnaam,14466
2006,Women,Type O,Gyeongnaam,4126
2006,Women,Type O,Jeju,1568
2006,Women,Type O,Korean Red Cross ¿Ü,2425
2006,Women,Type A,Korean Red Cross,166754
2006,Women,Type A,Central Seoul,15547
2006,Women,Type A,Western Seoul,8025
2006,Women,Type A,Southern Seoul,12748
2006,Women,Type A,Eastern Seoul,16428
2006,Women,Type A,Busan,17184
2006,Women,Type A,Daegu/Gyeongbook,15726
2006,Women,Type A,Incheon,11237
2006,Women,Type A,Ulsan,5659
2006,Women,Type A,Gyeonggi,8702
2006,Women,Type A,Gangwon,2765
2006,Women,Type A,Chungbook,5386
2006,Women,Type A,Daejeon/Sejong/Chungnaam,10073
2006,Women,Type A,Jeonbook,10358
2006,Women,Type A,Gwangju/Jeonnaam,20105
2006,Women,Type A,Gyeongnaam,5088
2006,Women,Type A,Jeju,1723
2006,Women,Type A,Korean Red Cross ¿Ü,2757
2006,Women,Type B,Korean Red Cross,138229
2006,Women,Type B,Central Seoul,13277
2006,Women,Type B,Western Seoul,6829
2006,Women,Type B,Southern Seoul,10740
2006,Women,Type B,Eastern Seoul,13774
2006,Women,Type B,Busan,14233
2006,Women,Type B,Daegu/Gyeongbook,14039
2006,Women,Type B,Incheon,9376
2006,Women,Type B,Ulsan,4760
2006,Women,Type B,Gyeonggi,7395
2006,Women,Type B,Gangwon,2506
2006,Women,Type B,Chungbook,4934
2006,Women,Type B,Daejeon/Sejong/Chungnaam,8356
2006,Women,Type B,Jeonbook,7762
2006,Women,Type B,Gwangju/Jeonnaam,14087
2006,Women,Type B,Gyeongnaam,4106
2006,Women,Type B,Jeju,2055
2006,Women,Type B,Korean Red Cross ¿Ü,2014
2006,Women,Type AB,Korean Red Cross,57564
2006,Women,Type AB,Central Seoul,5437
2006,Women,Type AB,Western Seoul,2724
2006,Women,Type AB,Southern Seoul,4227
2006,Women,Type AB,Eastern Seoul,5681
2006,Women,Type AB,Busan,6003
2006,Women,Type AB,Daegu/Gyeongbook,5485
2006,Women,Type AB,Incheon,3884
2006,Women,Type AB,Ulsan,1954
2006,Women,Type AB,Gyeonggi,3125
2006,Women,Type AB,Gangwon,992
2006,Women,Type AB,Chungbook,2023
2006,Women,Type AB,Daejeon/Sejong/Chungnaam,3457
2006,Women,Type AB,Jeonbook,3549
2006,Women,Type AB,Gwangju/Jeonnaam,6706
2006,Women,Type AB,Gyeongnaam,1673
2006,Women,Type AB,Jeju,644
2006,Women,Type AB,Korean Red Cross ¿Ü,933
2006,Women,RH(-),Korean Red Cross,2321
2006,Women,RH(-),Central Seoul,215
2006,Women,RH(-),Western Seoul,116
2006,Women,RH(-),Southern Seoul,196
2006,Women,RH(-),Eastern Seoul,173
2006,Women,RH(-),Busan,245
2006,Women,RH(-),Daegu/Gyeongbook,213
2006,Women,RH(-),Incheon,179
2006,Women,RH(-),Ulsan,107
2006,Women,RH(-),Gyeonggi,110
2006,Women,RH(-),Gangwon,53
2006,Women,RH(-),Chungbook,100
2006,Women,RH(-),Daejeon/Sejong/Chungnaam,161
2006,Women,RH(-),Jeonbook,116
2006,Women,RH(-),Gwangju/Jeonnaam,246
2006,Women,RH(-),Gyeongnaam,67
