"Gender","Career","Donation Source","Category","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men+Women","Self-employed","Incheon","Donation Count","Unit","2960","3187","3168","3039","3321","3355","3267","3128","3195","3287","3147","3064","3157","3329","3520","4322","4265","4367","4011",
"Men+Women","Self-employed","Incheon","Composition Rate[%]","%","2.3","2.6","2.9","2.5","2.5","2.2","1.9","1.8","1.8","1.8","1.7","1.9","1.9","2.1","2.2","2.6","2.6","2.6","2.3",
"Men+Women","Self-employed","Ulsan","Donation Count","Unit","2158","1719","1467","1349","1353","1197","1122","1077","1122","1388","1287","1362","1288","1328","1461","1545","1590","1716","1857",
"Men+Women","Self-employed","Ulsan","Composition Rate[%]","%","2.7","2.1","2.2","1.9","1.8","1.6","1.5","1.4","1.4","1.6","1.4","1.6","1.5","1.5","1.6","1.9","1.9","2","1.9",
"Men+Women","Self-employed","Gyeonggi","Donation Count","Unit","5564","4752","4254","4570","5122","4952","4311","4294","4248","4573","4636","4829","4697","4793","4908","6110","6105","5531","4991",
"Men+Women","Self-employed","Gyeonggi","Composition Rate[%]","%","4","3.4","3.3","3.2","3.1","2.9","2.4","2.4","2.2","2.2","2.1","2.4","2.2","2.4","2.3","2.7","2.7","2.6","2.2",
"Men+Women","Self-employed","Gangwon","Donation Count","Unit","983","1095","1120","1201","1315","1400","1508","1572","1579","1627","1754","1868","2058","2363","2539","3251","3096","3102","2827",
"Men+Women","Self-employed","Gangwon","Composition Rate[%]","%","1.2","1.4","1.7","1.6","1.6","1.7","1.6","1.5","1.3","1.3","1.2","1.2","1.3","1.5","1.7","2.3","2.3","2.5","2.1",
"Men+Women","Self-employed","Chungbook","Donation Count","Unit","1344","1475","1360","1446","1756","1845","1471","1406","1353","1317","1173","1329","1452","1595","1698","2325","2257","2184","1918",
"Men+Women","Self-employed","Chungbook","Composition Rate[%]","%","1.7","1.9","1.9","1.7","1.8","1.8","1.6","1.4","1.4","1.3","1.2","1.5","1.5","1.7","1.8","2.7","2.7","2.6","2.2",
"Men+Women","Self-employed","Daejeon/Sejong/Chungnaam","Donation Count","Unit","2680","2229","2195","2624","2707","2856","2430","2419","2183","2353","2634","2798","2917","3082","3448","4747","4390","4409","4171",
"Men+Women","Self-employed","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","1.7","1.5","1.5","1.5","1.5","1.5","1.3","1.2","1","1","1.1","1.2","1.2","1.2","1.4","2","1.9","1.9","1.8",
"Men+Women","Self-employed","Jeonbook","Donation Count","Unit","2747","2114","2231","2578","2400","2442","2065","1920","1681","1714","1640","1447","1655","1677","1747","1939","1850","1915","1868",
"Men+Women","Self-employed","Jeonbook","Composition Rate[%]","%","2.3","1.8","2.3","2.4","2","2","1.6","1.5","1.3","1.4","1.3","1.2","1.4","1.5","1.6","1.9","1.8","2","1.9",
"Men+Women","Self-employed","Gwangju/Jeonnaam","Donation Count","Unit","5119","3985","4043","4287","4324","4025","3288","3145","3530","2920","2702","2821","3502","3564","3769","4595","4301","4701","4251",
"Men+Women","Self-employed","Gwangju/Jeonnaam","Composition Rate[%]","%","2.9","2","2.3","2.2","2.1","2","1.7","1.7","1.7","1.3","1.2","1.4","1.6","1.7","1.8","2.5","2.3","2.5","2.2",
"Men+Women","Self-employed","Gyeongnaam","Donation Count","Unit","2397","1992","1845","1808","1919","1872","1477","1581","1715","1771","1810","1791","1703","1680","1829","2612","2365","2460","2255",
"Men+Women","Self-employed","Gyeongnaam","Composition Rate[%]","%","2.4","1.9","2","1.8","1.7","1.6","1.3","1.3","1.3","1.2","1.3","1.4","1.3","1.2","1.4","2","1.9","2","1.7",
"Men+Women","Self-employed","Jeju","Donation Count","Unit","1349","1077","901","866","929","1101","850","821","889","992","1091","1120","1484","1230","1455","2176","2137","2087","2329",
"Men+Women","Self-employed","Jeju","Composition Rate[%]","%","4.3","3.6","3.3","2.7","2.5","2.9","2.5","2.6","2.6","2.7","2.7","3.1","3.9","3.6","4","5.2","5.1","5","4.9",
"Men+Women","Self-employed","Korean Red Cross 외","Donation Count","Unit","1579","1452","1610","2110","2416","2940","2969","3451","3724","3793","3012","2760","2743","2610","2459","2850","2667","3050","3290",
"Men+Women","Self-employed","Korean Red Cross 외","Composition Rate[%]","%","3.1","2.8","2.7","2.6","2.2","2","1.8","1.9","1.8","1.8","1.4","1.2","1.3","1.3","1.4","1.6","1.5","1.5","1.4",
"Men+Women","Religion-related work","Total","Donation Count","Unit","6629","6666","6440","6419","6492","6318","5604","5604","5110","5563","5725","5317","5577","5482","5343","7047","7142","7015","6295",
"Men+Women","Religion-related work","Total","Composition Rate[%]","%",".3",".3",".3",".3",".3",".2",".2",".2",".2",".2",".2",".2",".2",".2",".2",".3",".3",".3",".2",
"Men+Women","Religion-related work","Korean Red Cross","Donation Count","Unit","6367","6458","6154","6092","6115","5861","5122","5102","4623","5050","5330","4908","5208","5172","5074","6467","6577","6518","5784",
"Men+Women","Religion-related work","Korean Red Cross","Composition Rate[%]","%",".3",".3",".3",".3",".2",".2",".2",".2",".2",".2",".2",".2",".2",".2",".2",".3",".3",".3",".2",
"Men+Women","Religion-related work","Central Seoul","Donation Count","Unit","568","672","623","594","599","738","","","","","","","","601","570","659","656","614","513",
"Men+Women","Religion-related work","Central Seoul","Composition Rate[%]","%",".3",".3",".3",".3",".3",".3","","","","","","","",".2",".2",".3",".3",".3",".2",
"Men+Women","Religion-related work","Western Seoul","Donation Count","Unit","471","464","663","590","704","302","664","709","656","693","694","572","591","","","","","","",
"Men+Women","Religion-related work","Western Seoul","Composition Rate[%]","%",".4",".3",".4",".3",".4",".3",".2",".3",".2",".2",".2",".2",".2","","","","","","",
"Men+Women","Religion-related work","Southern Seoul","Donation Count","Unit","824","772","681","720","637","584","484","456","420","446","450","444","448","509","462","440","497","526","547",
"Men+Women","Religion-related work","Southern Seoul","Composition Rate[%]","%",".5",".4",".4",".4",".3",".3",".2",".2",".2",".2",".2",".2",".2",".2",".2",".2",".3",".3",".3",
"Men+Women","Religion-related work","Eastern Seoul","Donation Count","Unit","590","720","643","580","568","723","835","670","594","664","691","665","627","691","615","692","780","793","755",
"Men+Women","Religion-related work","Eastern Seoul","Composition Rate[%]","%",".3",".4",".4",".3",".3",".3",".3",".2",".2",".2",".2",".2",".2",".2",".2",".3",".3",".3",".3",
"Men+Women","Religion-related work","Busan","Donation Count","Unit","498","423","423","418","410","403","315","382","304","340","333","297","353","367","299","393","479","491","401",
"Men+Women","Religion-related work","Busan","Composition Rate[%]","%",".2",".2",".2",".2",".2",".2",".1",".2",".1",".1",".1",".1",".2",".2",".1",".2",".2",".2",".2",
"Men+Women","Religion-related work","Daegu/Gyeongbook","Donation Count","Unit","471","414","331","356","325","350","365","343","286","332","369","350","370","488","522","618","593","542","414",
"Men+Women","Religion-related work","Daegu/Gyeongbook","Composition Rate[%]","%",".2",".2",".2",".2",".2",".2",".2",".2",".1",".1",".1",".1",".2",".2",".2",".3",".3",".2",".2",
"Men+Women","Religion-related work","Incheon","Donation Count","Unit","348","388","407","333","312","301","339","370","344","375","375","308","348","288","266","411","503","463","409",
"Men+Women","Religion-related work","Incheon","Composition Rate[%]","%",".3",".3",".4",".3",".2",".2",".2",".2",".2",".2",".2",".2",".2",".2",".2",".2",".3",".3",".2",
"Men+Women","Religion-related work","Ulsan","Donation Count","Unit","119","106","88","63","61","98","82","73","46","74","90","77","66","85","114","112","186","178","147",
"Men+Women","Religion-related work","Ulsan","Composition Rate[%]","%",".2",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",".2",".1",
"Men+Women","Religion-related work","Gyeonggi","Donation Count","Unit","499","510","504","447","481","487","416","483","428","462","540","539","544","444","414","621","648","490","495",
"Men+Women","Religion-related work","Gyeonggi","Composition Rate[%]","%",".4",".4",".4",".3",".3",".3",".2",".3",".2",".2",".2",".3",".3",".2",".2",".3",".3",".2",".2",
"Men+Women","Religion-related work","Gangwon","Donation Count","Unit","125","104","117","117","144","154","150","155","148","138","170","273","272","276","245","316","305","275","222",
"Men+Women","Religion-related work","Gangwon","Composition Rate[%]","%",".2",".1",".2",".2",".2",".2",".2",".1",".1",".1",".1",".2",".2",".2",".2",".2",".2",".2",".2",
"Men+Women","Religion-related work","Chungbook","Donation Count","Unit","192","195","174","203","272","183","183","206","211","237","219","139","127","131","154","259","201","179","146",
"Men+Women","Religion-related work","Chungbook","Composition Rate[%]","%",".2",".2",".2",".2",".3",".2",".2",".2",".2",".2",".2",".2",".1",".1",".2",".3",".2",".2",".2",
"Men+Women","Religion-related work","Daejeon/Sejong/Chungnaam","Donation Count","Unit","363","410","391","443","435","392","355","304","306","368","418","317","426","323","397","550","468","520","469",
"Men+Women","Religion-related work","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%",".2",".3",".3",".3",".2",".2",".2",".1",".1",".2",".2",".1",".2",".1",".2",".2",".2",".2",".2",
"Men+Women","Religion-related work","Jeonbook","Donation Count","Unit","363","316","348","384","360","402","362","380","334","343","367","305","374","399","348","414","372","485","402",
"Men+Women","Religion-related work","Jeonbook","Composition Rate[%]","%",".3",".3",".4",".4",".3",".3",".3",".3",".3",".3",".3",".3",".3",".4",".3",".4",".4",".5",".4",
"Men+Women","Religion-related work","Gwangju/Jeonnaam","Donation Count","Unit","668","689","561","598","524","502","427","402","380","388","372","375","389","356","456","614","579","609","535",
"Men+Women","Religion-related work","Gwangju/Jeonnaam","Composition Rate[%]","%",".4",".3",".3",".3",".3",".3",".2",".2",".2",".2",".2",".2",".2",".2",".2",".3",".3",".3",".3",
"Men+Women","Religion-related work","Gyeongnaam","Donation Count","Unit","169","146","102","140","160","132","81","114","116","133","190","187","202","145","162","234","199","244","220",
"Men+Women","Religion-related work","Gyeongnaam","Composition Rate[%]","%",".2",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".2",".1",".1",".2",".2",".2",".2",
"Men+Women","Religion-related work","Jeju","Donation Count","Unit","99","129","98","106","123","110","64","55","50","57","52","60","71","69","50","134","111","109","109",
"Men+Women","Religion-related work","Jeju","Composition Rate[%]","%",".3",".4",".4",".3",".3",".3",".2",".2",".1",".2",".1",".2",".2",".2",".1",".3",".3",".3",".2",
"Men+Women","Religion-related work","Korean Red Cross 외","Donation Count","Unit","262","208","286","327","377","457","482","502","487","513","395","409","369","310","269","580","565","497","511",
"Men+Women","Religion-related work","Korean Red Cross 외","Composition Rate[%]","%",".5",".4",".5",".4",".3",".3",".3",".3",".2",".2",".2",".2",".2",".2",".2",".3",".3",".2",".2",
"Men+Women","Stay-at-home","Total","Donation Count","Unit","20529","22893","20961","23988","27420","29109","28564","32336","29362","34031","37892","40970","45628","48675","51255","57854","57028","71091","64954",
"Men+Women","Stay-at-home","Total","Composition Rate[%]","%",".9","1","1","1","1.1","1.1","1.1","1.2","1","1.1","1.2","1.4","1.6","1.7","1.8","2.2","2.2","2.7","2.3",
"Men+Women","Stay-at-home","Korean Red Cross","Donation Count","Unit","19718","22099","20229","23262","26572","27712","27090","30505","27116","31651","35749","37998","42453","45334","48236","53507","52794","65842","59475",
"Men+Women","Stay-at-home","Korean Red Cross","Composition Rate[%]","%",".9","1","1","1","1.1","1.1","1.1","1.2","1","1.1","1.2","1.4","1.6","1.7","1.8","2.2","2.2","2.7","2.3",
"Men+Women","Stay-at-home","Central Seoul","Donation Count","Unit","1259","1439","1361","1525","1779","2630","","","","","","","","4200","4627","4570","4476","5017","4769",
"Men+Women","Stay-at-home","Central Seoul","Composition Rate[%]","%",".6",".6",".7",".7",".9","1","","","","","","","","1.6","1.8","2.1","2.1","2.2","2",
"Men+Women","Stay-at-home","Western Seoul","Donation Count","Unit","983","1228","1644","1876","2416","1063","2999","3218","2875","3003","3978","3803","4122","","","","","","",
"Men+Women","Stay-at-home","Western Seoul","Composition Rate[%]","%",".7",".9","1.1","1.1","1.3","1.2","1.1","1.1","1",".9","1.2","1.3","1.5","","","","","","",
"Men+Women","Stay-at-home","Southern Seoul","Donation Count","Unit","1684","1989","1700","2150","2212","2204","1857","2455","2112","2262","2408","3049","3454","3446","3632","2975","2927","3579","3331",
"Men+Women","Stay-at-home","Southern Seoul","Composition Rate[%]","%",".9","1","1","1.1","1.1","1",".9","1.1",".9","1","1.1","1.3","1.4","1.5","1.7","1.6","1.7","2","1.7",
"Men+Women","Stay-at-home","Eastern Seoul","Donation Count","Unit","2631","3448","3045","3251","3628","4348","4821","4534","3810","4104","4042","4331","4582","5081","4981","4626","4938","5866","6361",
"Men+Women","Stay-at-home","Eastern Seoul","Composition Rate[%]","%","1.3","1.7","1.7","1.6","1.7","1.7","1.8","1.6","1.3","1.3","1.4","1.6","1.6","1.8","1.9","2","2.1","2.5","2.5",
"Men+Women","Stay-at-home","Busan","Donation Count","Unit","2070","2224","1997","2260","2263","2408","2322","2730","2666","3439","3558","3441","4054","4622","4379","4673","4463","5700","5409",
"Men+Women","Stay-at-home","Busan","Composition Rate[%]","%","1","1","1.1","1.1","1","1","1.1","1.2","1.2","1.5","1.5","1.7","1.9","2.1","2.1","2.4","2.3","2.8","2.6",
"Men+Women","Stay-at-home","Daegu/Gyeongbook","Donation Count","Unit","2102","1782","1436","1645","2043","2439","2555","3021","2567","3051","3866","3957","4585","5090","5132","6167","6409","6551","5718",
"Men+Women","Stay-at-home","Daegu/Gyeongbook","Composition Rate[%]","%","1.1",".9",".9",".9",".9","1.1","1.2","1.3","1","1.2","1.5","1.7","1.9","2.1","2.2","3.1","2.8","2.9","2.5",
"Men+Women","Stay-at-home","Incheon","Donation Count","Unit","1801","1662","1656","1731","2034","2125","2465","2907","2498","2691","3142","3124","3355","3698","3923","4234","4536","5592","4971",
"Men+Women","Stay-at-home","Incheon","Composition Rate[%]","%","1.4","1.4","1.5","1.4","1.6","1.4","1.4","1.7","1.4","1.4","1.7","1.9","2.1","2.4","2.5","2.6","2.7","3.3","2.8",
"Men+Women","Stay-at-home","Ulsan","Donation Count","Unit","900","912","773","759","804","899","897","1228","1194","1430","1655","1653","1723","1810","2104","2147","2385","2770","2804",
"Men+Women","Stay-at-home","Ulsan","Composition Rate[%]","%","1.1","1.1","1.2","1.1","1.1","1.2","1.2","1.6","1.5","1.6","1.8","1.9","2","2.1","2.3","2.6","2.9","3.2","2.8",
"Men+Women","Stay-at-home","Gyeonggi","Donation Count","Unit","1343","1742","1609","1842","2390","2394","2291","2806","2332","2381","3032","3560","3834","3775","4395","5405","5831","6035","5148",
"Men+Women","Stay-at-home","Gyeonggi","Composition Rate[%]","%","1","1.2","1.2","1.3","1.5","1.4","1.3","1.6","1.2","1.2","1.4","1.7","1.8","1.9","2.1","2.4","2.6","2.8","2.3",
"Men+Women","Stay-at-home","Gangwon","Donation Count","Unit","456","542","409","553","742","821","963","1129","1062","1265","1595","1696","1893","2070","2191","2424","2239","3591","2868",
"Men+Women","Stay-at-home","Gangwon","Composition Rate[%]","%",".5",".7",".6",".8",".9","1","1","1",".9","1","1.1","1.1","1.2","1.3","1.4","1.7","1.7","2.9","2.2",
"Men+Women","Stay-at-home","Chungbook","Donation Count","Unit","487","548","422","470","634","620","672","767","593","856","817","966","1257","1259","1407","1523","1527","2396","1844",
"Men+Women","Stay-at-home","Chungbook","Composition Rate[%]","%",".6",".7",".6",".6",".6",".6",".7",".8",".6",".9",".8","1.1","1.3","1.3","1.5","1.8","1.8","2.9","2.2",
"Men+Women","Stay-at-home","Daejeon/Sejong/Chungnaam","Donation Count","Unit","701","812","859","1358","1388","1407","1164","1412","1373","1774","2332","2629","2942","3275","3926","5170","4471","5766","5252",
"Men+Women","Stay-at-home","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%",".4",".6",".6",".8",".8",".7",".6",".7",".6",".8",".9","1.1","1.2","1.3","1.6","2.2","1.9","2.4","2.2",
"Men+Women","Stay-at-home","Jeonbook","Donation Count","Unit","737","757","550","832","812","755","944","1152","897","1232","1181","1267","1292","1406","1505","1895","1665","2267","2063",
"Men+Women","Stay-at-home","Jeonbook","Composition Rate[%]","%",".6",".6",".6",".8",".7",".6",".8",".9",".7","1",".9","1.1","1.1","1.3","1.4","1.8","1.6","2.3","2.1",
"Men+Women","Stay-at-home","Gwangju/Jeonnaam","Donation Count","Unit","1694","2158","1855","2073","2217","2427","2116","2052","1894","2435","2283","2475","2961","2992","3295","3940","3495","6258","4682",
"Men+Women","Stay-at-home","Gwangju/Jeonnaam","Composition Rate[%]","%","1","1.1","1","1.1","1.1","1.2","1.1","1.1",".9","1.1","1","1.2","1.3","1.4","1.6","2.2","1.9","3.3","2.5",
"Men+Women","Stay-at-home","Gyeongnaam","Donation Count","Unit","584","600","673","682","800","748","741","838","937","1246","1396","1621","1923","2208","2267","3017","2701","3624","3201",
"Men+Women","Stay-at-home","Gyeongnaam","Composition Rate[%]","%",".6",".6",".7",".7",".7",".6",".6",".7",".7",".9","1","1.3","1.5","1.6","1.7","2.3","2.2","2.9","2.5",
"Men+Women","Stay-at-home","Jeju","Donation Count","Unit","286","256","240","255","410","424","283","256","306","482","464","426","476","402","472","741","731","830","1054",
"Men+Women","Stay-at-home","Jeju","Composition Rate[%]","%",".9",".9",".9",".8","1.1","1.1",".8",".8",".9","1.3","1.1","1.2","1.3","1.2","1.3","1.8","1.7","2","2.2",
"Men+Women","Stay-at-home","Korean Red Cross 외","Donation Count","Unit","811","794","732","726","848","1397","1474","1831","2246","2380","2143","2972","3175","3341","3019","4347","4234","5249","5479",
"Men+Women","Stay-at-home","Korean Red Cross 외","Composition Rate[%]","%","1.6","1.5","1.2",".9",".8",".9",".9","1","1.1","1.1","1","1.3","1.5","1.7","1.7","2.5","2.4","2.6","2.3",
"Men+Women","Other","Total","Donation Count","Unit","197732","203679","190461","211654","243328","245249","219092","219638","234245","247287","255335","246377","257644","259625","255721","270739","264584","290651","285184",
"Men+Women","Other","Total","Composition Rate[%]","%","8.7","8.8","9.1","9","9.5","9.2","8.4","8.1","8","8.1","8.3","8.6","8.8","9","9.2","10.4","10.2","11","10.3",
"Men+Women","Other","Korean Red Cross","Donation Count","Unit","191266","197748","184155","201188","228872","223432","195258","197303","203904","217538","222530","216557","229169","233079","233267","247351","242518","267203","258798",
"Men+Women","Other","Korean Red Cross","Composition Rate[%]","%","8.6","8.8","9.1","8.9","9.3","8.9","8","7.8","7.5","7.6","7.7","8.2","8.4","8.7","8.9","10.2","10","10.9","10.2",
"Men+Women","Other","Central Seoul","Donation Count","Unit","18032","20530","19362","22183","24063","29930","","","","","","","","30180","27174","27135","26844","29253","28932",
"Men+Women","Other","Central Seoul","Composition Rate[%]","%","8.6","9.2","10.3","10.7","11.5","11.9","","","","","","","","11.3","10.8","12.2","12.4","13.1","12.3",
"Men+Women","Other","Western Seoul","Donation Count","Unit","19165","21464","25221","26922","31298","14889","29082","28893","29230","31958","32853","29192","31086","","","","","","",
"Men+Women","Other","Western Seoul","Composition Rate[%]","%","14.3","15.5","16.3","15.8","16.2","16.6","10.7","10.2","9.7","9.5","9.9","10","11.2","","","","","","",
"Men+Women","Other","Southern Seoul","Donation Count","Unit","16759","21041","18895","20007","23535","26877","26693","27479","26925","26048","25623","26960","28865","27507","26152","24216","22496","23145","23323",
"Men+Women","Other","Southern Seoul","Composition Rate[%]","%","9.3","11.1","10.9","10.7","11.3","12.2","12.2","12","11.4","11.3","11.4","11.9","11.7","11.9","12.2","12.7","12.8","12.7","11.9",
"Men+Women","Other","Eastern Seoul","Donation Count","Unit","16039","18437","16888","17073","20829","25072","26278","25804","26779","29663","28531","26378","27005","29384","29442","28087","27633","29687","29828",
"Men+Women","Other","Eastern Seoul","Composition Rate[%]","%","8.2","9.2","9.3","8.6","9.8","10.1","9.9","9.3","9.1","9.4","9.6","9.7","9.7","10.5","11.3","12.1","12","12.5","11.7",
"Men+Women","Other","Busan","Donation Count","Unit","28483","24700","22086","22980","23229","22355","17606","17673","17760","19937","19503","19232","20895","22263","22589","24038","23393","25770","24098",
"Men+Women","Other","Busan","Composition Rate[%]","%","13.4","11.6","11.6","10.9","10.7","9.6","8.1","8.1","7.7","8.5","8.2","9.4","9.7","10","10.6","12.2","12","12.6","11.7",
"Men+Women","Other","Daegu/Gyeongbook","Donation Count","Unit","13977","12301","9282","11621","14507","14655","13204","13227","13567","15725","17506","17577","18778","19724","20078","22531","23178","24722","22899",
"Men+Women","Other","Daegu/Gyeongbook","Composition Rate[%]","%","7.2","6.5","5.9","6.2","6.7","6.9","6.2","5.8","5.5","6","6.7","7.4","7.8","8","8.6","11.5","10.3","11","10",
"Men+Women","Other","Incheon","Donation Count","Unit","10868","10572","11773","13001","14659","15303","15477","15764","16594","16764","17143","16625","16842","17199","16966","19099","20022","21871","22367",
"Men+Women","Other","Incheon","Composition Rate[%]","%","8.4","8.7","10.7","10.7","11.2","9.9","8.8","9.1","9.3","9","9.5","10.3","10.3","10.9","10.7","11.6","12","12.8","12.6",
"Men+Women","Other","Ulsan","Donation Count","Unit","6860","7426","5386","5544","5556","5147","5109","5664","5642","7452","7676","7643","7252","7567","8216","8346","8005","9101","9630",
"Men+Women","Other","Ulsan","Composition Rate[%]","%","8.7","9","8.2","7.8","7.5","6.9","7","7.2","6.9","8.3","8.2","8.8","8.4","8.7","9","10.1","9.6","10.4","9.7",
"Men+Women","Other","Gyeonggi","Donation Count","Unit","11377","10607","9815","11025","14167","14116","13545","14410","15178","16270","17316","17947","17614","18369","19139","22385","22377","22026","20477",
"Men+Women","Other","Gyeonggi","Composition Rate[%]","%","8.2","7.5","7.6","7.8","8.6","8.2","7.7","8.2","7.9","7.9","7.9","8.7","8.4","9","9.1","9.9","9.9","10.2","9.1",
"Men+Women","Other","Gangwon","Donation Count","Unit","2505","2874","2692","3141","3852","3876","3851","3908","4602","5590","6184","6101","6063","6239","6063","7051","6878","8197","7465",
"Men+Women","Other","Gangwon","Composition Rate[%]","%","3","3.8","4.2","4.3","4.8","4.6","4.2","3.6","3.8","4.4","4.1","4.1","3.9","3.9","3.9","5","5.1","6.6","5.6",
"Men+Women","Other","Chungbook","Donation Count","Unit","5756","5636","4229","4538","6363","5688","4841","4963","5119","5368","5264","5178","5857","6010","6021","7045","6541","7448","6764",
"Men+Women","Other","Chungbook","Composition Rate[%]","%","7.4","7.1","5.8","5.3","6.4","5.6","5.3","5","5.2","5.4","5.3","5.8","6.1","6.4","6.4","8.2","7.7","8.9","7.9",
"Men+Women","Other","Daejeon/Sejong/Chungnaam","Donation Count","Unit","7068","7797","7931","9450","11084","11329","11274","11782","12051","11352","13362","13493","14261","14006","14643","16933","16779","19137","18783",
"Men+Women","Other","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","4.4","5.3","5.4","5.5","6.1","5.9","5.9","5.7","5.4","4.9","5.4","5.7","5.9","5.6","5.9","7.1","7.2","8.1","8",
"Men+Women","Other","Jeonbook","Donation Count","Unit","9607","8554","7994","8490","8550","8401","8007","8036","8174","8262","7792","6919","7734","7650","7944","8937","8371","9747","10404",
"Men+Women","Other","Jeonbook","Composition Rate[%]","%","7.9","7.2","8.1","7.9","7.1","6.7","6.4","6.3","6.2","6.6","6","6","6.8","7","7.3","8.7","8.1","10.1","10.4",
"Men+Women","Other","Gwangju/Jeonnaam","Donation Count","Unit","15789","17261","15441","17333","17529","15816","12872","12903","14784","14536","15128","15017","17367","17646","19483","20309","18816","24607","22223",
"Men+Women","Other","Gwangju/Jeonnaam","Composition Rate[%]","%","9.1","8.6","8.7","8.9","8.7","8","6.7","6.9","7.2","6.7","6.8","7.4","7.9","8.5","9.4","11.1","10.2","13","11.8",
"Men+Women","Other","Gyeongnaam","Donation Count","Unit","4980","4768","4070","4537","5676","5679","4367","4335","4495","5347","5231","5550","6234","6192","6269","7643","7193","8186","7484",
"Men+Women","Other","Gyeongnaam","Composition Rate[%]","%","5","4.6","4.4","4.4","5","4.8","3.8","3.6","3.3","3.7","3.9","4.3","4.8","4.6","4.7","5.8","5.8","6.6","5.8",
"Men+Women","Other","Jeju","Donation Count","Unit","4001","3780","3090","3343","3975","4299","3052","2462","3004","3266","3418","2745","3316","3143","3088","3596","3992","4306","4121",
"Men+Women","Other","Jeju","Composition Rate[%]","%","12.6","12.7","11.2","10.3","10.8","11.2","8.9","7.7","8.8","8.7","8.4","7.7","8.8","9.2","8.6","8.6","9.5","10.3","8.7",
"Men+Women","Other","Korean Red Cross 외","Donation Count","Unit","6466","5931","6306","10466","14456","21817","23834","22335","30341","29749","32805","29820","28475","26546","22454","23388","22066","23448","26386",
"Men+Women","Other","Korean Red Cross 외","Composition Rate[%]","%","12.8","11.4","10.7","12.8","13.4","14.6","14.2","12.4","14.7","14.2","15.6","13.5","13.3","13.2","12.7","13.3","12.4","11.5","11.2",
"Men","Total","Total","Donation Count","Unit","1831613","1792038","1592279","1741184","1879514","1898213","1824531","1905688","2035857","2137369","2165411","2066926","2132241","2106912","2036566","1916444","1895131","1876184","2008892",
"Men","Total","Korean Red Cross","Donation Count","Unit","1789525","1748275","1545871","1677786","1799092","1797670","1717257","1790590","1909293","2007168","2029746","1926108","1988861","1972773","1909232","1793118","1771956","1735122","1845259",
"Men","Total","Central Seoul","Donation Count","Unit","169824","174506","137432","147238","147925","172472","","","","","","","","195481","182916","157832","155322","155262","165697",
"Men","Total","Western Seoul","Donation Count","Unit","113857","114093","117615","127664","142695","65259","179077","191971","209828","234946","231660","210930","201838","","","","","","",
"Men","Total","Southern Seoul","Donation Count","Unit","149974","151475","136271","143313","154754","161920","160365","166236","172180","170207","165554","169319","185180","173905","160320","144323","132869","132872","147219",
"Men","Total","Eastern Seoul","Donation Count","Unit","158684","150842","127101","134427","141682","162081","171213","181050","198140","213068","206563","195744","201327","201187","186199","171190","167635","166638","180698",
"Men","Total","Busan","Donation Count","Unit","163134","160286","147725","157411","160198","167419","150860","152398","156401","156994","158533","143066","151757","156593","149783","138067","135511","138212","142395",
"Men","Total","Daegu/Gyeongbook","Donation Count","Unit","146703","139819","117241","132309","151628","146567","142391","152043","166006","178406","177684","168424","172578","176709","167290","139286","159155","158967","167443",
"Men","Total","Incheon","Donation Count","Unit","90515","86833","79101","86693","89984","102831","115288","114453","117031","124396","121411","113269","115780","110801","112002","119383","119848","119983","127399",
"Men","Total","Ulsan","Donation Count","Unit","61828","64903","52640","56031","57357","55041","54331","57870","60388","68146","70085","65717","65900","66006","68561","63660","63842","64183","73750",
"Men","Total","Gyeonggi","Donation Count","Unit","117416","114908","102817","110129","122372","123615","126466","128317","140559","151967","159274","154592","159730","156393","158935","171193","168602","158940","169324",
"Men","Total","Gangwon","Donation Count","Unit","75508","67686","55609","61668","64310","66394","72405","85987","95113","99831","116232","122194","127367","134733","127408","117333","110113","98394","106032",
"Men","Total","Chungbook","Donation Count","Unit","60752","61782","58357","67104","78801","80021","71818","78316","74971","74594","73575","66760","71989","71508","70263","65938","63824","61230","63581",
"Men","Total","Daejeon/Sejong/Chungnaam","Donation Count","Unit","140630","116662","115479","132794","139646","149091","145124","152287","163562","170744","180633","171357","173478","178680","176499","171640","166881","165157","168393",
"Men","Total","Jeonbook","Donation Count","Unit","95457","88799","75743","81835","91565","94416","90925","92343","95861","89849","94813","87682","87191","82490","81328","76352","76286","69236","72737",
"Men","Total","Gwangju/Jeonnaam","Donation Count","Unit","132050","144359","125849","131553","137614","130294","123318","121889","134077","139455","141809","133199","147667","141168","141682","127499","127598","124892","128962",
"Men","Total","Gyeongnaam","Donation Count","Unit","88225","87567","75367","84418","93545","95546","91966","94915","103678","111425","106235","100136","101365","102900","101395","100405","95004","92168","99097",
"Men","Total","Jeju","Donation Count","Unit","24968","23755","21524","23199","25016","24703","21710","20515","21498","23140","25685","23719","25714","24219","24651","29017","29466","28988","32532",
